Rank,Lemma,Freq
1,ser,9001
2,estar,3859
3,ter,3194
4,ir,3037
5,fazer,1545
6,falar,1539
7,saber,1021
8,ficar,984
9,ver,941
10,dar,879
11,olhar,879
12,poder,825
13,achar,749
14,querer,701
15,pegar,466
16,passar,424
17,vir,405
18,deixar,336
19,chegar,314
20,sair,311
21,pôr,273
22,gostar,272
23,entender,255
24,colocar,231
25,começar,230
26,trabalhar,214
27,levar,211
28,entrar,201
29,comprar,199
30,tirar,186
31,dizer,182
32,jogar,177
33,pensar,174
34,voltar,173
35,dever,171
36,lembrar,169
37,usar,168
38,tomar,165
39,chamar,162
40,abrir,157
41,conseguir,150
42,esperar,145
43,contar,142
44,aparecer,139
45,acontecer,130
46,precisar,128
47,mandar,124
48,conhecer,123
49,pedir,123
50,andar,118
51,morrer,118
52,morar,117
53,acabar,116
54,virar,113
55,sentir,112
56,comer,110
57,vender,108
58,ligar,101
59,bater,99
60,mexer,99
61,ganhar,96
62,trocar,95
63,pagar,92
64,parar,92
65,cair,87
66,descer,86
67,tentar,85
68,arrumar,84
69,fechar,84
70,mostrar,80
71,conversar,79
72,trazer,79
73,esquecer,76
74,mudar,74
75,perder,73
76,subir,72
77,casar,69
78,ler,69
79,ouvir,67
80,estudar,66
81,perguntar,66
82,beber,64
83,matar,61
84,cortar,60
85,funcionar,60
86,guardar,59
87,valer,59
88,continuar,57
89,botar,56
90,escrever,56
91,correr,55
92,gravar,55
93,buscar,53
94,dormir,52
95,existir,51
96,receber,48
97,ajudar,47
98,encontrar,47
99,nascer,47
100,aprender,46
101,marcar,46
102,complicar,45
103,doer,43
104,errar,43
105,quebrar,43
106,entregar,42
107,cantar,41
108,procurar,40
109,gastar,39
110,resolver,39
111,ensinar,38
112,terminar,38
113,imaginar,37
114,aceitar,36
115,acreditar,36
116,demorar,36
117,faltar,36
118,lavar,36
119,melhorar,36
120,agüentar,35
121,depender,35
122,formar,35
123,aumentar,34
124,chorar,34
125,sentar,34
126,tratar,34
127,haver,33
128,deitar,32
129,engraçar,32
130,escolher,32
131,viver,32
132,criar,31
133,brincar,30
134,pintar,30
135,adorar,29
136,cobrar,29
137,participar,29
138,soltar,29
139,assistir,28
140,explicar,28
141,passear,28
142,puxar,28
143,rolar,28
144,viajar,28
145,abaixar,27
146,adiantar,27
147,brigar,27
148,dividir,27
149,escutar,27
150,parecer,27
151,encher,26
152,juntar,26
153,descobrir,25
154,perceber,25
155,levantar,24
156,prestar,24
157,queimar,24
158,roubar,24
159,separar,24
160,cangar,23
161,construir,23
162,partir,23
163,servir,23
164,cuidar,22
165,desculpar,22
166,namorar,22
167,segurar,22
168,apagar,21
169,dançar,21
170,picar,21
171,rir,21
172,segmentar,21
173,acostumar,20
174,adivinhar,20
175,apertar,20
176,custar,20
177,diminuir,20
178,manter,20
179,amar,19
180,apresentar,19
181,assinar,19
182,combinar,19
183,operar,19
184,significar,19
185,acompanhar,18
186,aproveitar,18
187,arrancar,18
188,montar,18
189,almoçar,17
190,caçar,17
191,crescer,17
192,encostar,17
193,enrolar,17
194,prender,17
195,produzir,17
196,sumir,17
197,acordar,16
198,atender,16
199,carregar,16
200,colar,16
201,descartar,16
202,preocupar,16
203,preparar,16
204,tocar,16
205,acender,15
206,copiar,15
207,determinar,15
208,foder,15
209,inventar,15
210,arrecadar,14
211,caber,14
212,chover,14
213,enfiar,14
214,interessar,14
215,jantar,14
216,meter,14
217,reclamar,14
218,responder,14
219,sobrar,14
220,acelerar,13
221,animar,13
222,congelar,13
223,convidar,13
224,danar,13
225,decidir,13
226,desenvolver,13
227,divertir,13
228,editar,13
229,envolver,13
230,gritar,13
231,preferir,13
232,pular,13
233,seguir,13
234,voar,13
235,zoar,13
236,atravessar,12
237,cobrir,12
238,instalar,12
239,oferecer,12
240,orientar,12
241,rodar,12
242,salvar,12
243,sugerir,12
244,vestir,12
245,atrapalhar,11
246,avisar,11
247,caminhar,11
248,cansar,11
249,completar,11
250,conferir,11
251,conviver,11
